,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-08,19:35:03.523,  112.04,  319.60,  413.60,  482.40,,,,,  525.64,  802.01,1995411426, 1327.65,  383.13,    6.48,  387.10,    9.61,,,,,  770.22,   16.09,1995547126,  786.31,   1295.86,    818.10,   2113.96
2024-03-08,19:35:04.523,  109.81,  319.47,  408.20,  482.74,,,,,  518.01,  802.21,2133008337, 1320.21,  385.05,    2.96,  388.28,    6.29,,,,,  773.33,    9.25,2132966682,  782.58,   1291.33,    811.46,   2102.80
2024-03-08,19:35:05.522,  103.23,  305.80,  379.60,  457.02,,,,,  482.83,  762.83,2132418897, 1245.66,  380.54,    4.74,  386.25,    8.00,,,,,  766.78,   12.73,2132366572,  779.52,   1249.61,    775.56,   2025.17
2024-03-08,19:35:06.523,   98.12,  299.68,  360.70,  444.48,,,,,  458.82,  744.16,2134550554, 1202.97,  384.59,    2.86,  388.61,    6.15,,,,,  773.20,    9.01,2134589614,  782.21,   1232.01,    753.17,   1985.18
2024-03-08,19:35:07.523,   94.40,  292.78,  347.64,  432.91,,,,,  442.03,  725.69,2132469490, 1167.72,  376.33,    2.29,  380.93,    5.56,,,,,  757.26,    7.85,2132552352,  765.11,   1199.30,    733.54,   1932.83
2024-03-08,19:35:08.523,   91.68,  287.94,  337.68,  424.91,,,,,  429.36,  712.86,2132490358, 1142.21,  380.40,    3.90,  385.74,    7.15,,,,,  766.14,   11.06,2132419468,  777.20,   1195.50,    723.91,   1919.41
2024-03-08,19:35:09.523,   89.69,  284.00,  329.70,  417.80,,,,,  419.38,  701.80,2134595965, 1121.18,  385.58,    4.13,  390.13,    7.39,,,,,  775.71,   11.52,2134655700,  787.23,   1195.09,    713.32,   1908.41
2024-03-08,19:35:10.523,   89.00,  286.84,  326.53,  419.02,,,,,  415.54,  705.86,2132522064, 1121.39,  381.30,    3.23,  386.86,    6.51,,,,,  768.16,    9.74,2132526459,  777.89,   1183.69,    715.60,   1899.29
2024-03-08,19:35:11.524,  106.08,  341.76,  381.69,  491.64,,,,,  487.77,  833.40,2134775579, 1321.17,  427.34,   12.76,  430.77,   16.05,,,,,  858.10,   28.80,2134719555,  886.91,   1345.87,    862.20,   2208.08
2024-03-08,19:35:12.524,   79.99,  285.85,  292.63,  406.27,,,,,  372.62,  692.12,2132662631, 1064.75,  397.59,    4.14,  401.06,    7.45,,,,,  798.64,   11.59,2132655715,  810.23,   1171.27,    703.71,   1874.98
2024-03-08,19:35:13.524,  114.04,  388.13,  409.67,  549.97,,,,,  523.71,  938.11,2132602459, 1461.82,  446.99,   23.38,  450.30,   26.66,,,,,  897.28,   50.04,2132687316,  947.32,   1421.00,    988.15,   2409.15
