Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,331889558,4065460,1793666,137729718,13353620,140,545076(Total)
0,197596,2227148,60564,914354,6801004,0,576366(Miss)
0,331691962,1838312,1733102,136815364,6552616,140,0(Hit)
1,83366066,199262,4511360,13947430,0,43876,263102(Total)
1,9458344,0,3290,134960,0,44954,261156(Miss)
1,73907722,199262,4508070,13812470,0,0,1946(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,18123112,4324264,1714454,139650602,13310766,112,606074(Total)
0,44478,1845494,62510,966896,6939324,0,594846(Miss)
0,18078634,2478770,1651944,138683706,6371442,112,11228(Hit)
1,17315774,199724,4568522,14274344,0,43890,266336(Total)
1,10302600,0,2828,46802,0,44996,262934(Miss)
