SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  115.79,  265.08,  423.56,  426.13,  539.35,  691.21,1887348324, 1230.56,  310.33,    8.02,  307.07,    5.03,  617.40,   13.05,1887721554,  630.45,   1156.75,    704.26,   1861.02
  125.14,  288.11,  458.68,  463.37,  583.82,  751.48,2133166212, 1335.30,  333.58,    6.71,  333.52,    3.27,  667.09,    9.98,2133079044,  677.08,   1250.91,    761.46,   2012.38
  121.09,  278.23,  444.23,  448.68,  565.32,  726.92,2132785479, 1292.24,  323.50,    6.62,  323.73,    3.20,  647.23,    9.82,2132749489,  657.06,   1212.56,    736.74,   1949.29
  119.72,  274.92,  439.77,  443.69,  559.49,  718.62,2134870341, 1278.10,  324.53,    7.36,  324.81,    3.92,  649.34,   11.28,2134816179,  660.63,   1208.83,    729.90,   1938.73
  117.03,  270.21,  429.61,  436.14,  546.64,  706.35,2132695380, 1252.99,  331.04,    7.01,  331.20,    3.55,  662.24,   10.56,2132710703,  672.80,   1208.88,    716.91,   1925.79
  115.90,  266.88,  426.04,  431.47,  541.94,  698.35,2132693785, 1240.29,  330.22,    6.71,  329.89,    3.27,  660.12,    9.98,2132604643,  670.09,   1202.05,    708.33,   1910.39
  119.37,  276.53,  436.26,  444.34,  555.62,  720.87,2132705319, 1276.49,  363.14,   21.67,  364.07,   18.46,  727.21,   40.13,2132776362,  767.34,   1282.83,    761.00,   2043.82
  111.46,  264.64,  409.75,  424.50,  521.22,  689.14,2135010507, 1210.36,  354.59,    8.72,  352.88,    5.26,  707.47,   13.98,2134947687,  721.45,   1228.69,    703.12,   1931.80
  109.63,  260.25,  402.88,  417.02,  512.51,  677.27,2132717461, 1189.78,  338.01,    6.92,  336.16,    3.47,  674.17,   10.39,2132784320,  684.56,   1186.68,    687.66,   1874.34
  109.32,  258.84,  401.86,  415.27,  511.18,  674.10,2132738954, 1185.28,  327.36,    5.94,  327.62,    2.52,  654.98,    8.46,2132795075,  663.45,   1166.16,    682.56,   1848.72
  109.03,  256.92,  401.57,  413.56,  510.60,  670.48,2132724386, 1181.09,  329.16,    6.92,  328.58,    3.48,  657.74,   10.40,2132636796,  668.14,   1168.34,    680.88,   1849.23
  108.37,  257.37,  399.07,  412.99,  507.43,  670.36,2135264659, 1177.80,  330.51,    6.95,  330.45,    3.51,  660.96,   10.46,2135265878,  671.42,   1168.39,    680.82,   1849.21
