Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,5024130006,935200,1846978,42716632,1615810,0,203028(Total)
0,826,336672,91420,1427132,1318996,154,197750(Miss)
0,5024129180,598528,1755558,41289500,296814,0,5278(Hit)
1,239244642,25676,4213062,6255760,0,5516,32942(Total)
1,1196594,0,952,73276,0,5628,32438(Miss)
1,238048048,25676,4212110,6182484,0,0,504(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,2541770,946246,1709540,43026144,1622488,0,200242(Total)
0,588,331688,30856,1309686,1300488,140,197134(Miss)
0,2541182,614558,1678684,41716458,322000,0,3108(Hit)
1,2113370,25620,4165392,5706876,0,5656,33096(Total)
1,1417920,0,7056,34482,0,5614,33054(Miss)
