Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15003979690,2749516,1792294,95715984,8335712,140,402836(Total)
0,134288,1508906,57498,1516074,4991434,84,406434(Miss)
0,15003845402,1240610,1734796,94199910,3344278,56,0(Hit)
1,218880718,126042,4205880,10587416,0,28112,162092(Total)
1,6820226,0,4480,320894,0,28014,166040(Miss)
1,212060492,126042,4201400,10266522,0,98,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11434290,2921226,1744344,97541556,8342894,140,411222(Total)
0,15764,1386000,63294,1449714,4955986,0,416612(Miss)
0,11418526,1535226,1681050,96091842,3386908,140,0(Hit)
1,10715082,126322,4434542,10577882,0,28070,164724(Total)
1,6444018,0,2366,103936,0,28056,166026(Miss)
