Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,19240984,3704568,3006136,151380488,16122078,140,632940(Total)
0,2487611462,2579640,19628,623896,7766710,140,635936(Miss)
0,0,1124928,2986508,150756592,8355368,0,0(Hit)
1,21305774,232204,5771192,15721622,0,51926,308938(Total)
1,164907540,0,2604,36932,0,52836,313054(Miss)
1,0,232204,5768588,15684690,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21477190,4324894,2211160,158508098,15908928,140,663768(Total)
0,100184,2008174,74004,670138,7587188,154,680624(Miss)
0,21377006,2316720,2137156,157837960,8321740,0,0(Hit)
1,21290696,232946,5318698,16221898,0,52360,308308(Total)
1,12013316,0,2772,20062,0,52304,313894(Miss)
