Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,13494488,3188010,1712788,115136616,10077466,140,482342(Total)
0,12577984020,1747480,272664,1183714,5516532,140,498470(Miss)
0,0,1440530,1440124,113952902,4560934,0,0(Hit)
1,12770856,147812,4746280,11549636,0,33096,192920(Total)
1,8696562,0,137242,23954,0,33152,199220(Miss)
1,4074294,147812,4609038,11525682,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,13716290,3336298,1674456,113330294,10038546,140,487872(Total)
0,8302,1552124,339486,1203538,5439602,140,507766(Miss)
0,13707988,1784174,1334970,112126756,4598944,0,0(Hit)
1,12833590,148106,4761428,12053636,0,33054,194628(Total)
1,7748454,0,10892,26866,0,33376,199612(Miss)
