skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
11484088,2813804,1946098,97580952,8286544,112,424718,10767834,125930,4631970,10254944,0,27482,164584
11597390,3011610,1882692,101520118,8185282,140,429100,10753722,124838,4715438,10118710,0,27636,163716
11636534,3046694,1967350,102358270,8246322,112,443702,10767498,125202,4729200,10041458,0,27580,165998
11633678,2537206,2101036,103493502,8156484,140,466522,10777228,124936,4501280,10031994,0,27790,167440
11708186,3178420,2114266,104738032,8221346,0,464114,10759784,125314,4671772,10088568,0,27888,165494
11755324,3128230,1998024,74856950,8212848,0,537922,10763844,123914,4641980,19221440,0,28266,166166
11909436,3381252,2108218,113138354,8209922,0,538468,10753596,124096,4694774,10478370,0,27972,166138
11817624,3406452,1971494,107488010,8192142,0,540932,10653482,125524,4566744,10301928,0,27944,166852
11816728,3396386,2041508,113518832,8185450,0,541884,10636864,124950,4569404,10221232,0,28000,165018
11866470,3435250,1770286,108245242,8204266,0,521640,10668154,125888,4531436,10068632,0,28000,162148
11834284,3429888,1781528,115682406,8190140,0,522354,10676736,126028,4564280,10014844,0,27958,160832
11806550,3420060,1665230,107809842,8190952,140,517930,10639034,124810,4543812,10341268,0,27762,162246
