Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11484088,2813804,1946098,97580952,8286544,112,424718
1,10767834,125930,4631970,10254944,0,27482,164584
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11597390,3011610,1882692,101520118,8185282,140,429100
1,10753722,124838,4715438,10118710,0,27636,163716
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11636534,3046694,1967350,102358270,8246322,112,443702
1,10767498,125202,4729200,10041458,0,27580,165998
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11633678,2537206,2101036,103493502,8156484,140,466522
1,10777228,124936,4501280,10031994,0,27790,167440
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
