skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total
11351298,2723784,1813574,93381540,8312108,140,260190,10669092,124936,4692422,10331888,0,27846,154644
9128896,2659342,1819804,113011290,8071686,112,554666,10681762,125748,4936596,10314934,0,27804,160874
11909114,3628128,1731674,112016870,8084188,112,552860,10645460,126644,4481190,10151694,0,27720,159208
12046090,3572086,1640646,109433618,8073618,140,550046,10750096,126126,4402384,10134250,0,27706,158844
12010362,3618454,1730344,107436070,8065456,140,550200,10753778,126448,4581500,10503668,0,27678,160132
11958520,3583888,1696338,115001852,7684026,112,559370,10757180,125958,4570804,10329536,0,27776,160314
11930688,3633896,1744624,116718182,8062810,140,569814,10779510,127106,4586806,10311098,0,27818,162778
11947684,3498698,5423320,110072928,8076362,224,567518,10750712,127204,9229752,10578610,0,27692,162120
11889724,3567508,1967798,116963350,8073268,0,562030,10757124,125048,4566982,10334142,0,27986,162274
11933838,3532480,1857898,116931990,8067990,0,579544,10766420,126420,4407214,9950472,0,27944,164738
11929288,3581088,2221856,115959424,8125208,0,576380,10752602,125440,4529574,10643332,0,28042,163618
11816392,3547740,5576452,94889956,8147874,0,562702,10657276,125594,11890200,12751970,0,28056,163660
