Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11351298,2723784,1813574,93381540,8312108,140,260190
1,10669092,124936,4692422,10331888,0,27846,154644
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9128896,2659342,1819804,113011290,8071686,112,554666
1,10681762,125748,4936596,10314934,0,27804,160874
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11909114,3628128,1731674,112016870,8084188,112,552860
1,10645460,126644,4481190,10151694,0,27720,159208
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,12046090,3572086,1640646,109433618,8073618,140,550046
1,10750096,126126,4402384,10134250,0,27706,158844
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
