Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11657254,2086420,5532324,114124570,9931418,0,603022(Total)
0,646526622,1697906,465920,1650236,5685778,140,605668(Miss)
0,0,388514,5066404,112474334,4245640,0,0(Hit)
1,12826632,147210,6558776,15899310,14,33992,194390(Total)
1,76399540,0,18438,282338,0,33110,197708(Miss)
1,0,147210,6540338,15616972,14,882,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,14091602,3939782,2189334,128651124,9878904,140,604576(Total)
0,2940,1462734,87220,1017688,5073880,140,618716(Miss)
0,14088662,2477048,2102114,127633436,4805024,0,0(Hit)
1,12824924,148862,5106206,12084212,0,33516,195314(Total)
1,8083698,0,938,51912,14,33124,200228(Miss)
