Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,964658702,3738812,2294628,146343386,15875902,0,630784(Total)
0,194684,2686040,37156,529774,7834400,140,619962(Miss)
0,964464018,1052772,2257472,145813612,8041502,0,10822(Hit)
1,55450290,235816,5264238,16139074,0,53116,311724(Total)
1,11375098,0,10654,34384,0,52738,306502(Miss)
1,44075192,235816,5253584,16104690,0,378,5222(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21698460,4337998,2412886,152973968,15795010,0,667982(Total)
0,169330,2062256,45108,658168,7560490,140,656110(Miss)
0,21529130,2275742,2367778,152315800,8234520,0,11872(Hit)
1,21297402,231798,5080712,16372118,0,52892,313782(Total)
1,12167554,0,770,10948,0,52444,306488(Miss)
