Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3367816270,3922226,2225524,108097808,14545202,0,669984(Total)
0,188860,2567936,35140,1713558,9998898,140,638708(Miss)
0,3367627410,1354290,2190384,106384250,4546304,0,31276(Hit)
1,83267912,232960,5262362,27980946,0,52990,313068(Total)
1,11426142,0,2940,1856596,0,52094,308658(Miss)
1,71841770,232960,5259422,26124350,0,896,4410(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,21801122,4774350,2248022,152720414,15638854,0,714616(Total)
0,162134,2011408,73696,585158,7535346,112,695240(Miss)
0,21638988,2762942,2174326,152135256,8103508,0,19376(Hit)
1,21138852,230650,5107998,16523276,0,53060,310254(Total)
1,12423992,0,266,46732,0,52192,310884(Miss)
