Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11253844,2524340,1626254,99308524,8357510,154,369418(Total)
0,5195120112,1489614,149646,1458366,4752356,224,386722(Miss)
0,0,1034726,1476608,97850158,3605154,0,0(Hit)
1,10615052,125132,4353552,10900358,0,27678,164388(Total)
1,113255128,0,9758,132034,0,27608,164794(Miss)
1,0,125132,4343794,10768324,0,70,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11331012,2930424,2270044,96209358,8294986,154,410396(Total)
0,10038,1360128,227066,1514646,4746798,0,420518(Miss)
0,11320974,1570296,2042978,94694712,3548188,154,0(Hit)
1,10586744,125076,4677974,10239222,0,27790,163142(Total)
1,6511134,14,41958,104370,0,27762,165648(Miss)
