Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11337816,2685144,4515182,94503010,8244600,0,410942(Total)
0,2085216700,1479744,13790,1499624,4817064,140,404390(Miss)
0,0,1205400,4501392,93003386,3427536,0,6552(Hit)
1,10713234,124670,5363022,10521154,0,28056,165368(Total)
1,82665072,0,714,383446,0,27650,164094(Miss)
1,0,124670,5362308,10137708,0,406,1274(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11310124,2865380,2445506,97077638,8298990,0,423934(Total)
0,12166,1371482,15568,1677466,4703258,112,417368(Miss)
0,11297958,1493898,2429938,95400172,3595732,0,6566(Hit)
1,10592498,124810,5653662,10507966,0,28196,164640(Total)
1,6481006,0,42,139594,0,27748,165382(Miss)
