Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1680186757,Device: id=1,RX,0,0,0,0,0
1680186758,Device: id=1,RX,0,0,0,0,0
1680186759,Device: id=1,RX,1.833397508481,3223.1279515095,3516.4715528664,1833446,402901650
1680186760,Device: id=1,RX,3.2523540933608,5752.4775945789,6272.8542495166,5085871,1121977026
1680186761,Device: id=1,RX,3.108329661648,5483.143037947,5980.4757838107,8194276,1807386518
1680186762,Device: id=1,RX,3.2480798450362,5735.1117275756,6254.8045027814,11442412,2524287878
1680186763,Device: id=1,RX,3.243383027105,5727.9242833942,6246.865567731,14685809,3240281498
1680186764,Device: id=1,RX,3.244579543479,5730.152882527,6249.2856094837,17930493,3956573668
1680186765,Device: id=1,RX,3.2875720131308,5844.7128050391,6370.72432714,21218119,4687174766
1680186766,Device: id=1,RX,2.1606945231058,5657.5862984731,6003.29742217,23378816,5394373864
1680186767,Device: id=1,RX,1.9630762181121,5560.7312639088,5874.8234588067,25341907,6089470506
1680186768,Device: id=1,RX,3.2550694099899,6206.3620156278,6727.1731212262,28597059,6865285442
