SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  170.47,  153.85,  625.06,  374.53,  795.52,  528.39,2115444278, 1323.91,  146.69,    9.51,  143.39,    6.10,  290.08,   15.61,2116063995,  305.69,   1085.61,    543.99,   1629.60
  171.79,  154.42,  630.86,  376.98,  802.65,  531.40,2134520472, 1334.05,  138.88,    5.73,  135.24,    2.36,  274.11,    8.09,2134618001,  282.21,   1076.76,    539.49,   1616.26
  174.92,  162.32,  633.12,  385.13,  808.04,  547.45,2132355836, 1355.49,  179.69,   28.61,  175.71,   25.12,  355.39,   53.74,2132489659,  409.13,   1163.43,    601.19,   1764.63
  170.55,  153.20,  626.82,  375.05,  797.37,  528.25,2134774985, 1325.62,  145.83,    7.67,  142.68,    4.29,  288.51,   11.96,2134664815,  300.48,   1085.89,    540.21,   1626.10
  170.84,  152.49,  627.43,  374.18,  798.28,  526.67,2132166878, 1324.95,  148.67,    8.88,  145.53,    5.54,  294.20,   14.42,2132206437,  308.61,   1092.47,    541.09,   1633.56
  170.83,  153.46,  627.77,  375.28,  798.59,  528.74,2134401370, 1327.33,  147.29,    8.68,  144.06,    5.34,  291.35,   14.02,2134262717,  305.38,   1089.95,    542.76,   1632.71
  169.17,  152.19,  624.71,  373.68,  793.88,  525.87,2131937407, 1319.75,  140.52,    5.62,  137.01,    2.24,  277.54,    7.86,2131869644,  285.39,   1071.42,    533.73,   1605.15
  170.96,  152.99,  628.09,  375.14,  799.05,  528.12,2133794692, 1327.17,  145.50,    8.20,  142.39,    4.86,  287.89,   13.06,2133710541,  300.95,   1086.94,    541.18,   1628.12
  170.56,  151.54,  627.67,  373.50,  798.23,  525.04,2134363602, 1323.28,  142.50,    7.77,  139.36,    4.40,  281.86,   12.17,2135059652,  294.03,   1080.09,    537.21,   1617.30
  169.55,  152.04,  625.35,  373.75,  794.90,  525.79,2132793649, 1320.69,  142.02,    6.23,  139.05,    2.88,  281.07,    9.11,2132307899,  290.18,   1075.97,    534.90,   1610.87
  170.07,  150.94,  626.56,  372.71,  796.63,  523.65,2132407053, 1320.28,  145.37,    8.69,  142.37,    5.32,  287.73,   14.01,2132370966,  301.75,   1084.37,    537.66,   1622.03
  170.03,  151.16,  627.07,  373.08,  797.10,  524.24,2134262254, 1321.34,  142.99,    6.46,  139.85,    3.09,  282.84,    9.55,2135162378,  292.40,   1079.94,    533.80,   1613.74
