Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,1033050172,1794632,1966664,60579498,4941090,0,210868(Total)
0,812,985348,60228,2018870,3344376,140,205002(Miss)
0,1033049360,809284,1906436,58560628,1596714,0,5866(Hit)
1,93266054,75334,4421130,7863408,0,16828,99932(Total)
1,1170050,0,8428,209244,0,16898,97538(Miss)
1,92096004,75334,4412702,7654164,0,0,2394(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,6913424,1805188,1981518,60721598,4934412,0,211652(Total)
0,3192,953946,69104,1987734,3327772,140,207550(Miss)
0,6910232,851242,1912414,58733864,1606640,0,4102(Hit)
1,6338304,75222,4716642,7815682,0,16772,99050(Total)
1,4065600,0,168,48580,0,16800,99400(Miss)
