SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  156.71,  214.08,  574.09,  421.64,  730.80,  635.72,2101742548, 1366.52,  227.04,    6.69,  229.79,    9.98,  456.82,   16.66,2101941347,  473.49,   1187.62,    652.38,   1840.00
  156.31,  212.45,  575.43,  421.26,  731.74,  633.70,2133214947, 1365.44,  217.50,    2.32,  220.33,    5.66,  437.83,    7.98,2133026312,  445.81,   1169.57,    641.69,   1811.25
  154.97,  210.28,  571.54,  418.00,  726.51,  628.27,2132415017, 1354.79,  208.04,    1.57,  212.31,    4.90,  420.34,    6.47,2132599262,  426.81,   1146.86,    634.74,   1781.60
  141.47,  270.21,  517.83,  463.26,  659.30,  733.47,2132728711, 1392.77,  290.55,    2.33,  297.03,    5.65,  587.57,    7.98,2132650501,  595.56,   1246.88,    741.45,   1988.33
  137.64,  267.55,  506.12,  457.22,  643.76,  724.77,2134771431, 1368.53,  288.45,    2.30,  294.34,    5.64,  582.79,    7.95,2134791473,  590.74,   1226.56,    732.72,   1959.28
  134.08,  260.57,  494.98,  447.48,  629.06,  708.05,2132526544, 1337.11,  292.58,    3.35,  298.18,    6.72,  590.76,   10.07,2132470168,  600.83,   1219.82,    718.11,   1937.93
  133.24,  259.61,  491.36,  445.35,  624.60,  704.95,2132508968, 1329.56,  295.68,    2.91,  300.27,    6.26,  595.96,    9.17,2132528911,  605.13,   1220.56,    714.12,   1934.69
  131.34,  255.47,  486.83,  440.39,  618.17,  695.86,2134714459, 1314.03,  292.33,    2.05,  295.74,    5.39,  588.08,    7.44,2134731317,  595.52,   1206.25,    703.30,   1909.55
  130.99,  256.91,  485.63,  441.34,  616.62,  698.25,2132520762, 1314.87,  286.72,    3.34,  291.03,    6.68,  577.75,   10.03,2132559260,  587.78,   1194.38,    708.28,   1902.65
  122.63,  260.26,  450.48,  432.94,  573.11,  693.20,2132699826, 1266.31,  339.97,   17.02,  344.64,   20.49,  684.61,   37.50,2132541265,  722.12,   1257.73,    730.70,   1988.43
  112.49,  242.21,  419.30,  405.50,  531.80,  647.71,2134596019, 1179.51,  311.30,    4.04,  317.21,    7.37,  628.51,   11.41,2134616379,  639.92,   1160.31,    659.12,   1819.43
  110.88,  239.00,  414.60,  400.52,  525.48,  639.52,2132476372, 1165.00,  304.92,    2.84,  310.69,    6.15,  615.60,    8.99,2132477739,  624.59,   1141.08,    648.51,   1789.59
