Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11317586,2870028,3560480,97864060,8346954,0,412706(Total)
0,2967484408,1485638,31444,1395422,4786992,140,410214(Miss)
0,0,1384390,3529036,96468638,3559962,0,2492(Hit)
1,10635842,125818,7527730,11320470,0,28028,163268(Total)
1,68465502,0,2870,93296,0,27538,164178(Miss)
1,0,125818,7524860,11227174,0,490,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11419002,2992892,3895822,99739668,8321922,140,420588(Total)
0,6216,1370782,17906,1446354,4752706,140,423094(Miss)
0,11412786,1622110,3877916,98293314,3569216,0,0(Hit)
1,10627442,125664,7251678,11475828,0,27790,163814(Total)
1,6584704,0,266,98644,0,27440,165998(Miss)
