skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
11317586,2870028,3560480,97864060,8346954,0,412706,2967484408,1485638,31444,1395422,4786992,140,410214,0,1384390,3529036,96468638,3559962,0,2492,10635842,125818,7527730,11320470,0,28028,163268,68465502,0,2870,93296,0,27538,164178,0,125818,7524860,11227174,0,490,0
11419002,2992892,3895822,99739668,8321922,140,420588,6216,1370782,17906,1446354,4752706,140,423094,11412786,1622110,3877916,98293314,3569216,0,0,10627442,125664,7251678,11475828,0,27790,163814,6584704,0,266,98644,0,27440,165998,4042738,125664,7251412,11377184,0,350,0
11456452,3009356,3499132,100470090,8317232,140,417480,5530,1297702,46956,1496922,4708242,112,325122,11450922,1711654,3452176,98973168,3608990,28,92358,10674902,125720,7459550,11273038,0,27818,164318,6351842,0,2352,28784,0,27664,166054,4323060,125720,7457198,11244254,0,154,0
11576670,3152464,3099894,103408242,8199674,140,456554,5348,1237698,38402,1423940,4668496,0,459774,11571322,1914766,3061492,101984302,3531178,140,0,10670534,124670,7635880,11249182,0,27930,164094,6213522,0,2380,32844,0,27846,165088,4457012,124670,7633500,11216338,0,84,0
11616892,3206070,2436938,103179846,8173536,140,460866,4984,1173172,116466,1518230,4632866,0,468356,11611908,2032898,2320472,101661616,3540670,140,0,10690120,126462,5790470,11309284,0,27664,162428,6176842,0,2100,87906,0,27916,167160,4513278,126462,5788370,11221378,0,0,0
11634812,3233846,1746444,103009354,8169112,140,463134,4396,1148630,78736,1779778,4623360,0,473914,11630416,2085216,1667708,101229576,3545752,140,0,10673754,126266,5477556,11432708,0,27860,163968,6200180,0,2548,404726,0,27832,166404,4473574,126266,5475008,11027982,0,28,0
11802882,3178938,1620318,103155038,8156694,182,467950,6300,1119160,136724,1666840,4613574,0,480074,11796582,2059778,1483594,101488198,3543120,182,0,10769444,125202,4709348,11573590,0,28000,162778,6197814,0,2604,697494,0,27566,165452,4571630,125202,4706744,10876096,0,434,0
11806620,3281964,1713838,103666752,8145340,140,468244,6384,1086204,159796,1797880,4601380,0,483560,11800236,2195760,1554042,101868872,3543960,140,0,10764418,126798,4833808,11291154,0,27818,161714,6288114,0,2310,182084,0,27930,165676,4476304,126798,4831498,11109070,0,0,0
11819122,3297084,1692152,102851252,8088052,140,331212,5222,1076376,135646,1906506,4624508,0,264292,11813900,2220708,1556506,100944746,3463544,140,66920,10756788,127008,4713954,11382098,0,27930,162036,6209140,0,2422,220976,0,28056,161532,4547648,127008,4711532,11161122,0,0,504
11669952,3391164,1804334,106660876,8110256,112,505414,7840,1086148,200914,1619030,4552786,0,508396,11662112,2305016,1603420,105041846,3557470,112,0,10760988,127176,4574038,11169942,0,27832,163828,7078512,0,21756,563654,0,28098,162932,3682476,127176,4552282,10606288,0,0,896
11883130,3406620,1771476,107632140,8073548,0,500822,4158,1047634,131600,1712704,4538394,140,504084,11878972,2358986,1639876,105919436,3535154,0,0,10784494,127190,4590320,10606218,0,28210,160580,6518918,0,21826,333046,0,27762,163100,4265576,127190,4568494,10273172,0,448,0
11877530,3360616,1801884,110470206,9062662,0,508746,3318,1026214,124026,1807848,5034092,140,520436,11874212,2334402,1677858,108662358,4028570,0,0,10780700,126560,4531268,11234734,0,31486,180922,6428954,0,14672,317478,0,31500,181412,4351746,126560,4516596,10917256,0,0,0
