SKT0-Ch0Read,SKT0-Ch0Write,SKT0-Ch1Read,SKT0-Ch1Write,SKT0-Mem Read (MB/s),SKT0-Mem Write (MB/s),SKT0-P. Write (T/s),SKT0-Memory (MB/s),SKT1-Ch0Read,SKT1-Ch0Write,SKT1-Ch1Read,SKT1-Ch1Write,SKT1-Mem Read (MB/s),SKT1-Mem Write (MB/s),SKT1-P. Write (T/s),SKT1-Memory (MB/s),System-Read,System-Write,System-Memory
  130.92,  183.35,  479.96,  357.30,  610.88,  540.66,1783025925, 1151.54,  192.80,    7.01,  196.21,    9.78,  389.00,   16.80,1783356960,  405.80,    999.89,    557.45,   1557.34
  153.16,  214.05,  565.80,  420.30,  718.96,  634.35,2133457480, 1353.31,  219.23,    4.30,  223.28,    7.61,  442.52,   11.91,2133340862,  454.43,   1161.48,    646.26,   1807.74
  152.03,  211.29,  561.89,  416.34,  713.93,  627.64,2133033255, 1341.56,  214.82,    2.83,  219.02,    6.17,  433.84,    9.01,2133157000,  442.84,   1147.77,    636.64,   1784.41
  150.20,  208.00,  557.10,  411.88,  707.29,  619.88,2133014924, 1327.17,  209.30,    2.33,  213.72,    5.66,  423.02,    7.99,2132796917,  431.01,   1130.31,    627.86,   1758.18
  148.88,  206.37,  553.50,  409.57,  702.38,  615.94,2132876394, 1318.32,  208.74,    2.79,  211.88,    6.12,  420.61,    8.92,2133029586,  429.53,   1122.99,    624.86,   1747.85
  148.40,  205.74,  550.70,  407.77,  699.10,  613.51,2132918289, 1312.61,  214.43,    4.16,  218.12,    7.48,  432.54,   11.64,2132849426,  444.19,   1131.64,    625.16,   1756.80
  147.49,  204.45,  547.76,  405.51,  695.25,  609.96,2132767483, 1305.21,  214.08,    3.06,  217.52,    6.40,  431.59,    9.46,2132655234,  441.05,   1126.84,    619.42,   1746.27
  146.50,  203.12,  545.55,  403.51,  692.06,  606.63,2134888225, 1298.69,  210.50,    2.48,  214.78,    5.81,  425.28,    8.28,2134953398,  433.56,   1117.34,    614.91,   1732.25
  147.61,  228.75,  538.16,  425.50,  685.77,  654.25,2132787083, 1340.03,  249.57,   14.70,  253.34,   17.97,  502.92,   32.67,2132808211,  535.59,   1188.69,    686.93,   1875.62
  121.37,  192.68,  457.58,  366.83,  578.95,  559.51,2132765412, 1138.46,  221.23,    3.54,  225.51,    6.84,  446.74,   10.38,2132718483,  457.12,   1025.69,    569.89,   1595.58
  121.44,  190.67,  458.56,  365.15,  580.00,  555.81,2134793323, 1135.81,  217.80,    3.27,  222.36,    6.58,  440.17,    9.85,2134793814,  450.01,   1020.16,    565.66,   1585.83
  118.16,  171.48,  450.26,  343.42,  568.42,  514.90,2132609823, 1083.32,  190.74,    2.88,  196.44,    6.21,  387.18,    9.09,2132508283,  396.27,    955.60,    523.99,   1479.59
