Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,3533407080,2812348,3294088,96372052,8235878,140,407624(Total)
0,111062,1479912,54950,1470448,4838582,0,414092(Miss)
0,3533296018,1332436,3239138,94901604,3397296,140,0(Hit)
1,300812246,126546,6760334,10500686,0,27972,164878(Total)
1,5434338,0,3514,124404,0,28112,165998(Miss)
1,295377908,126546,6756820,10376282,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11449466,2956058,3481338,98291326,8265992,224,414540(Total)
0,10472,1381030,59206,1437842,4734996,0,420434(Miss)
0,11438994,1575028,3422132,96853484,3530996,224,0(Hit)
1,10667538,126756,7153510,10510584,0,27720,164164(Total)
1,6549830,0,2492,90062,0,27846,165662(Miss)
