Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11464726,2643802,1690556,97164116,8257732,0,403368(Total)
0,10230547208,1468670,29512,1585206,4960228,140,403816(Miss)
0,0,1175132,1661044,95578910,3297504,0,0(Hit)
1,10773420,122934,4625180,11002950,0,28168,164206(Total)
1,128390430,0,518,271264,0,27776,162876(Miss)
1,0,122934,4624662,10731686,0,392,1330(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11321506,2803248,1694952,98559118,8287188,0,415800(Total)
0,44758,1378076,16492,1520778,4894386,140,411488(Miss)
0,11276748,1425172,1678460,97038340,3392802,0,4312(Hit)
1,10618370,123214,4879252,11204550,0,28042,164346(Total)
1,6600650,0,56,136024,0,27804,164122(Miss)
