,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch0Read,Ch0Write,Ch1Read,Ch1Write,Ch2Read,Ch2Write,Ch3Read,Ch3Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2024-03-04,09:57:33.767,  146.44,  281.22,  517.16,  470.53,,,,,  663.60,  751.75,     52910, 1415.35,  312.89,    7.58,  317.21,   10.91,,,,,  630.09,   18.48,     53732,  648.58,   1293.69,    770.23,   2063.93
2024-03-04,09:57:34.767,  141.88,  270.22,  502.01,  454.65,,,,,  643.89,  724.87,     52694, 1368.75,  298.71,    3.78,  303.02,    7.09,,,,,  601.73,   10.87,     53574,  612.60,   1245.62,    735.74,   1981.36
2024-03-04,09:57:35.767,  139.49,  264.06,  494.73,  446.63,,,,,  634.22,  710.69,     52674, 1344.91,  291.09,    2.62,  295.73,    5.92,,,,,  586.82,    8.54,     53521,  595.36,   1221.04,    719.23,   1940.27
2024-03-04,09:57:36.767,  137.41,  260.79,  487.99,  441.47,,,,,  625.39,  702.26,     52637, 1327.66,  283.83,    2.62,  289.41,    5.90,,,,,  573.24,    8.51,     53525,  581.76,   1198.64,    710.78,   1909.41
2024-03-04,09:57:37.767,  133.67,  254.79,  476.75,  432.10,,,,,  610.42,  686.89,     52629, 1297.31,  285.29,    3.64,  290.34,    6.92,,,,,  575.63,   10.56,     53648,  586.19,   1186.06,    697.45,   1883.50
2024-03-04,09:57:38.768,  133.66,  255.28,  475.85,  431.76,,,,,  609.51,  687.04,     52666, 1296.55,  293.25,    3.69,  298.73,    6.97,,,,,  591.98,   10.66,     53724,  602.64,   1201.48,    697.71,   1899.19
2024-03-04,09:57:39.767,  132.30,  251.67,  470.98,  426.40,,,,,  603.28,  678.07,     52636, 1281.35,  288.88,    2.68,  291.99,    5.96,,,,,  580.87,    8.64,     53677,  589.51,   1184.14,    686.71,   1870.85
2024-03-04,09:57:40.767,  136.24,  263.21,  482.92,  442.00,,,,,  619.16,  705.21,     52671, 1324.37,  320.46,   19.48,  322.75,   22.44,,,,,  643.21,   41.91,     53657,  685.13,   1262.37,    747.12,   2009.49
2024-03-04,09:57:41.767,  124.70,  249.79,  444.90,  416.82,,,,,  569.60,  666.62,     52620, 1236.22,  309.72,    4.25,  314.87,    7.52,,,,,  624.59,   11.77,     53674,  636.36,   1194.19,    678.39,   1872.58
2024-03-04,09:57:42.768,  123.29,  245.51,  441.09,  411.66,,,,,  564.38,  657.16,     52608, 1221.54,  296.53,    2.60,  301.39,    5.90,,,,,  597.92,    8.50,     53867,  606.42,   1162.30,    665.66,   1827.97
2024-03-04,09:57:43.768,  122.74,  243.34,  439.05,  408.61,,,,,  561.78,  651.95,     52594, 1213.73,  295.00,    3.84,  299.78,    7.14,,,,,  594.78,   10.98,     53703,  605.76,   1156.56,    662.93,   1819.49
