Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,15310036,3699248,1887914,120490076,11719106,140,536004(Total)
0,1174318348,1985186,58478,1156330,6231806,0,537432(Miss)
0,0,1714062,1829436,119333746,5487300,140,0(Hit)
1,14877660,175518,4618460,13200992,0,39032,228466(Total)
1,252737912,0,3920,140336,0,38864,232750(Miss)
1,0,175518,4614540,13060656,0,168,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,16051154,3806194,1758274,123633762,11679850,140,552160(Total)
0,9856,1746010,36862,1222354,6086206,0,527884(Miss)
0,16041298,2060184,1721412,122411408,5593644,140,24276(Hit)
1,15208634,173390,4695754,12785598,0,38752,232204(Total)
1,8958376,0,2562,47628,0,38962,229166(Miss)
