skt-0_PCIRdCur-total,skt-0_RFO-total,skt-0_CRd-total,skt-0_DRd-total,skt-0_ItoM-total,skt-0_PRd-total,skt-0_WiL-total,skt-0_PCIRdCur-miss,skt-0_RFO-miss,skt-0_CRd-miss,skt-0_DRd-miss,skt-0_ItoM-miss,skt-0_PRd-miss,skt-0_WiL-miss,skt-0_PCIRdCur-hit,skt-0_RFO-hit,skt-0_CRd-hit,skt-0_DRd-hit,skt-0_ItoM-hit,skt-0_PRd-hit,skt-0_WiL-hit,skt-1_PCIRdCur-total,skt-1_RFO-total,skt-1_CRd-total,skt-1_DRd-total,skt-1_ItoM-total,skt-1_PRd-total,skt-1_WiL-total,skt-1_PCIRdCur-miss,skt-1_RFO-miss,skt-1_CRd-miss,skt-1_DRd-miss,skt-1_ItoM-miss,skt-1_PRd-miss,skt-1_WiL-miss,skt-1_PCIRdCur-hit,skt-1_RFO-hit,skt-1_CRd-hit,skt-1_DRd-hit,skt-1_ItoM-hit,skt-1_PRd-hit,skt-1_WiL-hit
2008606796,2700068,1567342,99709652,8276422,196,396704,16548,2599384200,64890,1496628,4925396,0,406952,2008590248,0,1502452,98213024,3351026,196,0,144054526,123200,4469332,10370528,0,27846,164080,2388988,86392222,3696,215544,0,28126,164318,141665538,0,4465636,10154984,0,0,0
11115174,2934624,1597848,104178466,8226596,182,447650,30534,1379448,64932,1419600,4872770,0,370748,11084640,1555176,1532916,102758866,3353826,182,76902,10722278,125818,4559422,10841950,0,27622,164430,6672526,0,3738,71568,0,28126,163758,4049752,125818,4555684,10770382,0,0,672
11529574,3113348,1596056,107349424,8271914,140,457982,31570,1277192,76062,1378300,4739154,14,447776,11498004,1836156,1519994,105971124,3532760,126,10206,10593408,124180,4666060,11159540,0,27804,164458,6533632,0,2674,98322,0,27832,164710,4059776,124180,4663386,11061218,0,0,0
11617382,3156790,1743280,106336636,8174656,126,463806,5152,1213926,73906,1372826,4700234,14,464170,11612230,1942864,1669374,104963810,3474422,112,0,10708390,126378,4860968,11162550,0,27720,163646,6454364,0,2534,63546,0,27972,165088,4254026,126378,4858434,11099004,0,0,0
11696888,3212356,1599458,105583198,8281364,140,469728,4648,1182916,59346,1416198,4630178,14,476742,11692240,2029440,1540112,104167000,3651186,126,0,10714550,126490,4824904,11164944,0,27720,164500,6338528,0,2492,23646,0,28084,166376,4376022,126490,4822412,11141298,0,0,0
11711364,3225306,1768480,107266040,8164030,140,449246,3710,1138312,58632,1391222,4562586,14,472990,11707654,2086994,1709848,105874818,3601444,126,0,10709314,127092,5993862,11623206,0,27580,166642,6420218,0,2646,68082,0,27944,163310,4289096,127092,5991216,11555124,0,0,3332
11194722,3175746,1703408,110007982,8205428,112,512344,63126,1177750,80388,1378832,4508588,0,501424,11131596,1997996,1623020,108629150,3696840,112,10920,10658032,125244,5189646,11824190,0,27636,167426,6910820,0,4788,109676,0,28014,164626,3747212,125244,5184858,11714514,0,0,2800
11773538,3328752,1849176,109633916,8193304,0,515550,3416,1096242,73668,1525538,4520502,112,496188,11770122,2232510,1775508,108108378,3672802,0,19362,10732358,127554,4789638,11479300,0,27986,165802,6599082,0,42,63476,0,28294,164458,4133276,127554,4789596,11415824,0,0,1344
11774588,3335906,1941450,110470500,8166816,0,473788,4102,1066324,48832,1316742,4493020,140,502768,11770486,2269582,1892618,109153758,3673796,0,0,10666292,126168,4729046,10789072,0,27930,166250,6386982,0,70,23184,0,28238,164066,4279310,126168,4728976,10765888,0,0,2184
11799158,3321094,1696758,111470296,8212008,0,520226,3920,1043924,125398,1300348,4482128,140,504028,11795238,2277170,1571360,110169948,3729880,0,16198,10678948,125580,4776114,10814706,0,27734,165956,6426896,0,812,44800,0,28280,164024,4252052,125580,4775302,10769906,0,0,1932
11611628,3302376,1675002,112063784,8208340,0,518350,3528,1044848,17892,1406804,4438658,112,511798,11608100,2257528,1657110,110656980,3769682,0,6552,10574928,125706,4716208,11049346,0,27916,165648,6325172,0,392,47334,0,28280,164066,4249756,125706,4715816,11002012,0,0,1582
11591272,3328304,1601684,46617060,1746234,0,249256,3178,1033144,23072,810866,1152032,140,240576,11588094,2295160,1578612,45806194,594202,0,8680,10584756,125020,4458062,5487846,0,6104,36120,6344674,0,18480,72716,0,6482,35434,4240082,125020,4439582,5415130,0,0,686
