Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,2008606796,2700068,1567342,99709652,8276422,196,396704(Total)
0,16548,2599384200,64890,1496628,4925396,0,406952(Miss)
0,2008590248,0,1502452,98213024,3351026,196,0(Hit)
1,144054526,123200,4469332,10370528,0,27846,164080(Total)
1,2388988,86392222,3696,215544,0,28126,164318(Miss)
1,141665538,0,4465636,10154984,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,11115174,2934624,1597848,104178466,8226596,182,447650(Total)
0,30534,1379448,64932,1419600,4872770,0,370748(Miss)
0,11084640,1555176,1532916,102758866,3353826,182,76902(Hit)
1,10722278,125818,4559422,10841950,0,27622,164430(Total)
1,6672526,0,3738,71568,0,28126,163758(Miss)
