Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4925746,1539118,2937130,57516662,3238480,140,242410(Total)
0,11176960186,569184,67452,1924104,2344930,0,236908(Miss)
0,0,969934,2869678,55592558,893550,140,5502(Hit)
1,4238640,50400,6055294,6713574,0,11116,66318(Total)
1,257719588,0,3416,177730,0,11256,66024(Miss)
1,0,50400,6051878,6535844,0,0,294(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4929442,1534428,2651138,57477938,3239656,0,244496(Total)
0,896,604954,15652,1936326,2340842,140,243180(Miss)
0,4928546,929474,2635486,55541612,898814,0,1316(Hit)
1,4241650,50596,5986022,6959960,0,11144,66136(Total)
1,2763418,0,154,24304,0,11214,66780(Miss)
