Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,4296992,14447604010,2699312,76049246,6687492,0,286678(Total)
0,5418,1081640,117488,1675898,4110652,140,291424(Miss)
0,4291574,14446522370,2581824,74373348,2576840,0,0(Hit)
1,4130294,805706076,5514824,9499462,0,22456,131068(Total)
1,2852906,0,61992,55440,0,22596,133266(Miss)
1,1277388,805706076,5452832,9444022,0,0,0(Hit)
Skt,PCIRdCur,RFO,CRd,DRd,ItoM,PRd,WiL
0,9138066,2204216,2361646,78334872,6687856,140,292698(Total)
0,10094,1177372,250488,1757686,4090520,140,298060(Miss)
0,9127972,1026844,2111158,76577186,2597336,0,0(Hit)
1,8460956,99330,5477962,9266684,0,22204,131964(Total)
1,5399030,0,39536,66052,0,22680,133658(Miss)
